#AE-772-1
#Optical Temp. (°C)
Time	dt (s)	A2	
23-04-2026 14:20:42,537	2848.578	23.193
23-04-2026 14:20:45,758	2851.800	23.178
23-04-2026 14:20:49,082	2855.123	23.188
23-04-2026 14:20:52,412	2858.454	23.193
23-04-2026 14:20:55,740	2861.782	23.202
23-04-2026 14:20:58,953	2864.995	23.183
23-04-2026 14:21:02,167	2868.208	23.193
23-04-2026 14:21:05,384	2871.426	23.183
23-04-2026 14:21:08,707	2874.749	23.207
23-04-2026 14:21:12,032	2878.074	23.168
23-04-2026 14:21:15,354	2881.396	23.183
23-04-2026 14:21:18,666	2884.708	23.183
23-04-2026 14:21:21,890	2887.932	23.178
23-04-2026 14:21:25,106	2891.148	23.148
23-04-2026 14:21:28,430	2894.472	23.207
23-04-2026 14:21:31,758	2897.800	23.173
23-04-2026 14:21:35,083	2901.125	23.148
23-04-2026 14:21:38,302	2904.343	23.133
23-04-2026 14:21:41,521	2907.562	23.163
23-04-2026 14:21:44,733	2910.775	23.158
23-04-2026 14:21:47,950	2913.992	23.168
23-04-2026 14:21:51,276	2917.318	23.173
23-04-2026 14:21:54,603	2920.644	23.197
23-04-2026 14:21:57,932	2923.974	23.202
23-04-2026 14:22:01,150	2927.192	23.232
23-04-2026 14:22:04,368	2930.410	23.232
23-04-2026 14:22:07,585	2933.626	23.212
23-04-2026 14:22:10,907	2936.949	23.222
23-04-2026 14:22:14,233	2940.275	23.217
23-04-2026 14:22:17,558	2943.599	23.232
23-04-2026 14:22:20,776	2946.818	23.207
23-04-2026 14:22:23,988	2950.029	23.212
23-04-2026 14:22:27,200	2953.242	23.183
23-04-2026 14:22:30,522	2956.564	23.212
23-04-2026 14:22:33,843	2959.885	23.207
23-04-2026 14:22:37,170	2963.211	23.197
23-04-2026 14:22:40,491	2966.533	23.188
23-04-2026 14:22:43,706	2969.747	23.197
23-04-2026 14:22:46,923	2972.965	23.212
23-04-2026 14:22:50,136	2976.178	23.207
23-04-2026 14:22:53,352	2979.394	23.227
23-04-2026 14:22:56,675	2982.716	23.202
23-04-2026 14:23:00,002	2986.044	23.188
23-04-2026 14:23:03,328	2989.369	23.183
23-04-2026 14:23:06,542	2992.583	23.183
23-04-2026 14:23:09,757	2995.799	23.168
23-04-2026 14:23:12,968	2999.010	23.183
23-04-2026 14:23:16,182	3002.223	23.173
23-04-2026 14:23:19,505	3005.547	23.188
23-04-2026 14:23:22,829	3008.870	23.193
23-04-2026 14:23:26,155	3012.197	23.183
23-04-2026 14:23:29,374	3015.415	23.193
23-04-2026 14:23:32,584	3018.626	23.202
23-04-2026 14:23:35,804	3021.846	23.202
23-04-2026 14:23:39,131	3025.173	23.202
23-04-2026 14:23:42,454	3028.496	23.188
23-04-2026 14:23:45,778	3031.820	23.193
23-04-2026 14:23:48,999	3035.040	23.193
23-04-2026 14:23:52,219	3038.261	23.207
23-04-2026 14:23:55,437	3041.478	23.232
23-04-2026 14:23:58,761	3044.803	23.232
23-04-2026 14:24:02,089	3048.130	23.277
23-04-2026 14:24:05,405	3051.446	23.247
23-04-2026 14:24:08,628	3054.669	23.227
23-04-2026 14:24:11,848	3057.890	23.247
23-04-2026 14:24:15,064	3061.105	23.242
23-04-2026 14:24:18,389	3064.430	23.237
23-04-2026 14:24:21,710	3067.751	23.212
23-04-2026 14:24:25,039	3071.081	23.222
23-04-2026 14:24:28,259	3074.301	23.193
23-04-2026 14:24:31,474	3077.516	23.232
23-04-2026 14:24:34,685	3080.726	23.212
23-04-2026 14:24:37,894	3083.936	23.217
23-04-2026 14:24:41,115	3087.157	23.193
23-04-2026 14:24:44,439	3090.481	23.222
23-04-2026 14:24:47,765	3093.807	23.232
23-04-2026 14:24:51,091	3097.133	23.232
23-04-2026 14:24:54,312	3100.354	23.242
23-04-2026 14:24:57,528	3103.569	23.222
23-04-2026 14:25:00,852	3106.894	23.227
23-04-2026 14:25:04,180	3110.221	23.212
23-04-2026 14:25:07,509	3113.550	23.207
23-04-2026 14:25:10,726	3116.768	23.207
23-04-2026 14:25:13,944	3119.985	23.202
23-04-2026 14:25:17,263	3123.305	23.217
23-04-2026 14:25:20,587	3126.628	23.212
23-04-2026 14:25:23,914	3129.956	23.222
23-04-2026 14:25:27,135	3133.176	23.222
23-04-2026 14:25:30,351	3136.392	23.227
23-04-2026 14:25:33,564	3139.606	23.242
23-04-2026 14:25:36,785	3142.826	23.247
23-04-2026 14:25:40,104	3146.146	23.247
23-04-2026 14:25:43,431	3149.472	23.247
23-04-2026 14:25:46,758	3152.800	23.247
23-04-2026 14:25:49,971	3156.012	23.272
23-04-2026 14:25:53,192	3159.234	23.267
23-04-2026 14:25:56,409	3162.450	23.287
23-04-2026 14:25:59,735	3165.777	23.257
23-04-2026 14:26:03,062	3169.103	23.272
23-04-2026 14:26:06,385	3172.427	23.297
23-04-2026 14:26:09,605	3175.646	23.277
23-04-2026 14:26:12,821	3178.862	23.287
23-04-2026 14:26:16,038	3182.079	23.272
23-04-2026 14:26:19,365	3185.406	23.292
23-04-2026 14:26:22,688	3188.730	23.282
23-04-2026 14:26:26,016	3192.057	23.302
23-04-2026 14:26:29,230	3195.272	23.316
23-04-2026 14:26:32,451	3198.492	23.302
23-04-2026 14:26:35,672	3201.713	23.282
23-04-2026 14:26:38,993	3205.035	23.267
23-04-2026 14:26:42,308	3208.350	23.287
23-04-2026 14:26:45,636	3211.677	23.277
23-04-2026 14:26:48,853	3214.895	23.257
23-04-2026 14:26:52,074	3218.116	23.222
23-04-2026 14:26:55,293	3221.334	23.207
23-04-2026 14:26:58,618	3224.659	23.232
23-04-2026 14:27:01,939	3227.980	23.237
23-04-2026 14:27:05,263	3231.305	23.232
23-04-2026 14:27:08,486	3234.528	23.272
23-04-2026 14:27:11,709	3237.751	23.272
23-04-2026 14:27:14,923	3240.964	23.306
23-04-2026 14:27:18,248	3244.289	23.336
23-04-2026 14:27:21,574	3247.615	23.326
23-04-2026 14:27:24,895	3250.937	23.302
23-04-2026 14:27:28,118	3254.160	23.292
23-04-2026 14:27:31,336	3257.377	23.277
23-04-2026 14:27:34,550	3260.591	23.287
23-04-2026 14:27:37,766	3263.808	23.277
23-04-2026 14:27:41,092	3267.134	23.272
23-04-2026 14:27:44,415	3270.457	23.267
23-04-2026 14:27:47,745	3273.787	23.247
23-04-2026 14:27:50,960	3277.002	23.262
23-04-2026 14:27:54,169	3280.211	23.277
23-04-2026 14:27:57,380	3283.422	23.267
23-04-2026 14:28:00,595	3286.637	23.292
23-04-2026 14:28:03,923	3289.965	23.282
23-04-2026 14:28:07,245	3293.286	23.292
23-04-2026 14:28:10,569	3296.611	23.292
23-04-2026 14:28:13,794	3299.835	23.302
23-04-2026 14:28:17,009	3303.051	23.297
23-04-2026 14:28:20,224	3306.266	23.302
23-04-2026 14:28:23,553	3309.594	23.302
23-04-2026 14:28:26,876	3312.917	23.297
23-04-2026 14:28:30,207	3316.249	23.311
23-04-2026 14:28:33,426	3319.467	23.331
23-04-2026 14:28:36,640	3322.682	23.321
23-04-2026 14:28:39,857	3325.898	23.316
23-04-2026 14:28:43,181	3329.223	23.311
23-04-2026 14:28:46,509	3332.550	23.316
23-04-2026 14:28:49,833	3335.874	23.316
23-04-2026 14:28:53,048	3339.090	23.311
23-04-2026 14:28:56,269	3342.310	23.267
23-04-2026 14:28:59,488	3345.529	23.262
23-04-2026 14:29:02,816	3348.857	23.272
23-04-2026 14:29:06,139	3352.181	23.247
23-04-2026 14:29:09,461	3355.502	23.232
23-04-2026 14:29:12,677	3358.718	23.222
23-04-2026 14:29:15,890	3361.932	23.212
23-04-2026 14:29:19,101	3365.143	23.193
23-04-2026 14:29:22,315	3368.357	23.217
23-04-2026 14:29:25,638	3371.680	23.183
23-04-2026 14:29:28,962	3375.003	23.178
23-04-2026 14:29:32,291	3378.333	23.168
23-04-2026 14:29:35,511	3381.552	23.158
23-04-2026 14:29:38,726	3384.768	23.163
23-04-2026 14:29:41,942	3387.984	23.143
23-04-2026 14:29:45,159	3391.200	23.148
23-04-2026 14:29:48,483	3394.524	23.143
23-04-2026 14:29:51,802	3397.844	23.163
23-04-2026 14:29:55,125	3401.167	23.163
23-04-2026 14:29:58,348	3404.389	23.148
23-04-2026 14:30:01,564	3407.606	23.153
23-04-2026 14:30:04,775	3410.817	23.148
23-04-2026 14:30:07,995	3414.036	23.148
23-04-2026 14:30:11,319	3417.360	23.128
23-04-2026 14:30:14,651	3420.693	23.133
23-04-2026 14:30:17,974	3424.016	23.133
23-04-2026 14:30:21,191	3427.233	23.118
23-04-2026 14:30:24,406	3430.447	23.123
23-04-2026 14:30:27,624	3433.665	23.128
23-04-2026 14:30:30,949	3436.991	23.138
23-04-2026 14:30:34,275	3440.316	23.148
23-04-2026 14:30:37,602	3443.643	23.148
23-04-2026 14:30:40,815	3446.857	23.153
23-04-2026 14:30:44,031	3450.072	23.163
23-04-2026 14:30:47,246	3453.288	23.148
23-04-2026 14:30:50,578	3456.620	23.108
23-04-2026 14:30:53,906	3459.948	23.113
23-04-2026 14:30:57,234	3463.275	23.113
23-04-2026 14:31:00,445	3466.487	23.103
23-04-2026 14:31:03,660	3469.702	23.113
23-04-2026 14:31:06,882	3472.923	23.098
23-04-2026 14:31:10,207	3476.249	23.094
23-04-2026 14:31:13,527	3479.569	23.084
23-04-2026 14:31:16,940	3482.982	23.089
23-04-2026 14:31:20,493	3486.535	23.084
23-04-2026 14:31:25,862	3491.904	23.064
23-04-2026 14:31:29,189	3495.231	23.074
23-04-2026 14:31:32,408	3498.450	23.054
23-04-2026 14:31:35,622	3501.664	23.049
23-04-2026 14:31:38,839	3504.881	23.064
23-04-2026 14:31:42,164	3508.206	23.044
23-04-2026 14:31:45,485	3511.527	23.054
23-04-2026 14:31:48,810	3514.851	23.039
23-04-2026 14:31:52,028	3518.070	23.009
23-04-2026 14:31:55,241	3521.282	23.009
23-04-2026 14:31:58,610	3524.652	23.014
23-04-2026 14:32:02,161	3528.202	23.019
23-04-2026 14:32:07,465	3533.507	23.019
23-04-2026 14:32:10,687	3536.728	23.019
23-04-2026 14:32:14,016	3540.057	23.044
23-04-2026 14:32:17,340	3543.381	23.049
23-04-2026 14:32:20,665	3546.707	23.029
23-04-2026 14:32:23,884	3549.926	23.049
23-04-2026 14:32:27,103	3553.145	23.044
23-04-2026 14:32:30,426	3556.467	23.019
23-04-2026 14:32:33,752	3559.793	23.009
23-04-2026 14:32:37,082	3563.124	23.005
23-04-2026 14:32:40,299	3566.341	23.005
23-04-2026 14:32:43,515	3569.556	23.005
23-04-2026 14:32:46,730	3572.772	23.024
23-04-2026 14:32:50,095	3576.137	23.014
23-04-2026 14:32:53,646	3579.688	23.000
23-04-2026 14:32:58,942	3584.983	22.985
23-04-2026 14:33:02,162	3588.203	22.970
23-04-2026 14:33:05,382	3591.423	22.995
23-04-2026 14:33:08,710	3594.751	22.955
23-04-2026 14:33:12,035	3598.077	22.940
23-04-2026 14:33:15,365	3601.406	22.930
23-04-2026 14:33:18,581	3604.623	22.940
